feeder,start_time,end_time,outage_duration_minutes
8 MILES,2023-07-31 15:00:00.0000000,2023-07-31 15:00:00.0000000,0
8 MILES,2023-08-01 13:00:00.0000000,2023-08-01 15:30:00.0000000,150
8 MILES,2023-08-01 17:00:00.0000000,2023-08-01 17:00:00.0000000,0
8 MILES,2023-08-01 18:00:00.0000000,2023-08-01 19:00:00.0000000,60
8 MILES,2023-08-02 22:00:00.0000000,2023-08-02 22:30:00.0000000,30
8 MILES,2023-08-04 00:30:00.0000000,2023-08-04 03:30:00.0000000,180
8 MILES,2023-08-04 06:00:00.0000000,2023-08-04 06:30:00.0000000,30
8 MILES,2023-08-04 15:00:00.0000000,2023-08-04 15:00:00.0000000,0
8 MILES,2023-08-04 16:00:00.0000000,2023-08-04 16:30:00.0000000,30
8 MILES,2023-08-05 10:00:00.0000000,2023-08-05 11:30:00.0000000,90
8 MILES,2023-08-05 20:30:00.0000000,2023-08-05 21:00:00.0000000,30
8 MILES,2023-08-06 11:30:00.0000000,2023-08-06 11:30:00.0000000,0
8 MILES,2023-08-09 03:00:00.0000000,2023-08-09 04:30:00.0000000,90
8 MILES,2023-08-12 14:30:00.0000000,2023-08-12 14:30:00.0000000,0
8 MILES,2023-08-12 21:30:00.0000000,2023-08-12 21:30:00.0000000,0
8 MILES,2023-08-13 09:30:00.0000000,2023-08-13 13:30:00.0000000,240
8 MILES,2023-08-14 10:30:00.0000000,2023-08-14 10:30:00.0000000,0
8 MILES,2023-08-14 13:30:00.0000000,2023-08-14 13:30:00.0000000,0
8 MILES,2023-08-14 21:30:00.0000000,2023-08-14 22:00:00.0000000,30
8 MILES,2023-08-15 10:30:00.0000000,2023-08-15 10:30:00.0000000,0
8 MILES,2023-08-16 10:00:00.0000000,2023-08-16 10:30:00.0000000,30
8 MILES,2023-08-16 12:30:00.0000000,2023-08-16 12:30:00.0000000,0
8 MILES,2023-08-17 05:00:00.0000000,2023-08-17 05:00:00.0000000,0
8 MILES,2023-08-17 23:00:00.0000000,2023-08-17 23:00:00.0000000,0
8 MILES,2023-08-18 16:30:00.0000000,2023-08-18 16:30:00.0000000,0
8 MILES,2023-08-19 14:00:00.0000000,2023-08-19 14:00:00.0000000,0
8 MILES,2023-08-19 15:00:00.0000000,2023-08-19 15:00:00.0000000,0
8 MILES,2023-08-19 16:30:00.0000000,2023-08-19 17:00:00.0000000,30
8 MILES,2023-08-20 04:30:00.0000000,2023-08-20 05:30:00.0000000,60
